Nome do Usuário,Gênero,Conteúdo da Mensagem
IsabellaLinton,Female,"Are there any other autistic single parents here, with kids who are also on the spectrum or have other disabilities?
_________________I never give you my number, I only give you my situation. Beatles"
AngelL,Male,"IsabellaLinton wrote:Are there any other autistic single parents here, with kids who are also on the spectrum or have other disabilities?I don't check all the boxes (my daughter isn't on the spectrum or otherwise disabled) but I was a single parent."
MrsPeel,Non-binary,*raises hand*been single for a few years now.my kids are technically adults but have a few issues hindering their independence.
timf,Male,"Sometimes it can be difficult to find someone else who has traveled you path. It might be more effective to post an inquiry that is more specific. For example a specific issue dealing with a child will be different that an issue that deals with single parent dating.Considering the difficulties associated with single parenting, getting insights to specific problems from others can be beneficial. Helpful insights may not necessarily be limited to those who have the same situation."
IsabellaLinton,Female,"Thanks everyone. I didn't have a specific question at the time of posting. It had just occurred to me that I didn't know any other autistic single parents of autistic kids / teens / adults. When I google ""autistic parenting"" I get stories about NT couples raising autistic babies. I'm not NT and I'm not a couple. I've seen a very limited number of articles about parents who are autistic, but they're always married too. If not married, the other parent has a strong role in the child's life. I've been on my own for 25 years, since my daughter was six months old. She's is ASD, ADHD, CPTSD, and has Epilepsy on top of a permanent physical disability. She is still dependent and may always be. My son is also very high needs and dependent despite being a little older. More than anything I wanted to know that I'm not alone. Surely there are other single autistic parents with disabled kids of any age. My main questions would be about burnout, but also coping strategies related to: - conflicting sensory disorders (you need ABC, they need XYZ)- conflicting ASD behaviours (similar, but different ^ )- meltdowns (how to juggle theirs and yours when you're at the end of your rope)- self-advocacy as a disabled parent (dealing with social services, phone calls, executive function)- social stigma and not being recognised ... anywhere ... with additional help - ableism from others and in the media - shame (feeling like a failure, feeling embarrassed of limitations) - exhaustion from work / emotional depletion / physical health - demand exceeding capacity (especially with empathy, problem solving, home ownership) - practical matters (housework, cooking, cleaning, transportation, education, homework, jobs) - financial planning, Wills, life insurance, disability insurance, disability pensions (paperwork hell) - power of attorney, planning for their longterm needs when you die  - navigating family law (court, custody, exes -- if applicable) - mutism and effective communication styles (with services and also extended family)- meeting everyone's needs without sacrificing all of your own- hyper-vigilance, worry, fear, carrying too much responsibility (including lack of sleep or rest)- dating (theirs and yours), and being vulnerable to exploitation - having to do things outside your comfort zone (socially, emotionally, financially)- overwhelm (no ability to shut down or take a break, ever) - time management and accommodating schedules - conflict resolution (also sibling - sibling) - being responsible for ageing parents while also juggling your children's needs - mental health (theirs and yours, plus the intersection)- that feeling that you're so proud of yourself -- but you also want to die because it's too much - codependence (when your children need to parent you, or their skills exceed yours)- adult dependent children (how to parent another adult) and so much moreAll thoughts and comments from people in the trenches are welcome.
_________________I never give you my number, I only give you my situation. Beatles"
kraftiekortie,Male,"I'm the autistic son of someone who was a ""single parent"" after I was 10----and, for all intents and purposes, most of my life.Recently, she stated that she might have ""a touch of Aspergers."" She was born in 1934, even before there was a formalized ""autism."" She lived through a very rough time---the Depression and World War II. She certainly has quite a few psychological problems.I can tell you that she had a very rough time with me. And she was rough with me partially because of considerable frustration. She went through a lot for me, and I might not appreciate it enough."
IsabellaLinton,Female,"kraftiekortie wrote:I'm the autistic son of someone who was a ""single parent"" after I was 10----and, for all intents and purposes, most of my life.Recently, she stated that she might have ""a touch of Aspergers."" She was born in 1934, even before there was a formalized ""autism."" She lived through a very rough time---the Depression and World War II. She certainly has quite a few psychological problems.I can tell you that she had a very rough time with me. And she was rough with me partially because of considerable frustration. She went through a lot for me, and I might not appreciate it enough.Rereading what I wrote -- Wow, I'm the queen of brainstorming aren't I?  It actually felt good to cleanse the palate and identify all those stressors. I've never put it all in words like that before. Maybe I should start a forum or write a book about it, or something constructive? There must be an audience, somewhere. I feel for your mother from what you've told me. She's a strong woman and I know she's in poor health now too. It's very sweet that you recognise how much she sacrificed for you, even if there were tough times emotionally. I know my kids adore me. I'm not complaining. I'm very blessed - I couldn't ask for more from them, really.  I think I feel guilty to admit that I'm struggling, because it might sound like I regret being their mother. That's the farthest thing from the truth as I'm sure you know. It's just a very, very hard job and I've never found anyone who can relate.
_________________I never give you my number, I only give you my situation. Beatles"
kraftiekortie,Male,"Trust me----there are very many single mothers who can ""relate"" at least on some level. And there are many others who, for all intents and purposes, are single mothers because the husband might do practically nothing but drink or whatever. You just have to find them.There used to be shows in the 1970s about single mothers: ""One Day at a Time,"" and ""Alice"" as examples."
IsabellaLinton,Female,"Yup. I get that. I know quite a few single mothers, or mothers who were single and recoupled (with men or women). None of them are autistic, though. None of them have autistic kids. Most of them have either full autonomy from the other parent, or some form of cooperation -- legal or amicable. I have neither. I have a litigious lunatic who sues me as well as his own child, and has succeeded in destroying my life for 25 years while breaching court orders, not cooperating, and not leaving us alone. He's driven my daughter almost mad. It's my job to pick up the pieces. There's a whole other level of struggle involved for autistic parents who need care themselves, when they're responsible for other human beings. That's not even mentioning my ADHD or my strokes, or what I went through from exploitation and abuse subsequent to this man ^ . Poor executive function and theory of mind make it very hard just to tread water. Then add conflicting triggers / meltdowns / sensory issues, and trying to teach them things that I don't know how to do in the first place. Some days are a total nightmare and I don't know how to carry on. I'm only hoping to find someone or anyone who gets it.
_________________I never give you my number, I only give you my situation. Beatles"
kraftiekortie,Male,"^Yours is a unique and very rough situation. I understand that, of course!"
